PrimaryKey,Index Value
1570.0,176341
1571.0,176469
1572.0,176567
1573.0,176665
1574.0,176766
1575.0,176865
1576.0,177012
1577.0,177134
1578.0,177268
1579.0,177358
1580.0,177469
1581.0,177564
1582.0,177671
1583.0,177765
1584.0,177859
1585.0,177971
1586.0,178089
1587.0,178179
1588.0,178284
1589.0,178396
1590.0,178535
1591.0,178635
1592.0,178746
1593.0,178888
1594.0,179031
1595.0,179154
1596.0,179354
1597.0,179446
1598.0,179593
1599.0,179720
1600.0,179804
1601.0,179907
1602.0,180011
1603.0,180125
1604.0,180230
1605.0,180319
1606.0,180427
1607.0,180532
1608.0,180642
1609.0,180790
1610.0,180880
1611.0,181003
1612.0,181105
1613.0,181206
1614.0,181314
1615.0,181456
1616.0,181573
1617.0,181695
1618.0,181827
1619.0,181948
1620.0,182069
1621.0,182181
1622.0,182288
1623.0,182397
1624.0,182494
1625.0,182589
1626.0,182722
1627.0,182846
1628.0,182975
1629.0,183089
1630.0,183184
1631.0,183311
1632.0,183440
1633.0,183572
1634.0,183677
1635.0,183765
1636.0,183895
1637.0,183997
1638.0,184089
1639.0,184184
1640.0,184345
1641.0,184510
1642.0,184626
1643.0,184737
1644.0,184840
1645.0,184956
1646.0,185056
1647.0,185192
1648.0,185293
1649.0,185414
1650.0,185545
1651.0,185644
1652.0,185744
1653.0,185833
1654.0,185949
1655.0,186088
1656.0,186214
1657.0,186334
1658.0,186462
1659.0,186573
1660.0,186681
1661.0,186786
1662.0,186879
1663.0,186983
1664.0,187101
1665.0,187202
1666.0,187304
1667.0,187417
1668.0,187534
1669.0,187620
1670.0,187732
1671.0,187826
1672.0,187931
1673.0,188035
1674.0,188132
1675.0,188245
1676.0,188379
1677.0,188477
1678.0,188629
1679.0,188768
1680.0,188882
1681.0,188973
1682.0,189125
1683.0,189218
1684.0,189341
1685.0,189421
1686.0,189538
1687.0,189639
1688.0,189740
1689.0,189865
1690.0,189996
1691.0,190107
1692.0,190257
1693.0,190366
1694.0,190483
1695.0,190578
1696.0,190702
1697.0,190853
1698.0,190972
1699.0,191061
1700.0,191165
1701.0,191280
1702.0,191411
1703.0,191496
1704.0,191584
1705.0,191687
1706.0,191786
1707.0,191918
1708.0,192006
1709.0,192111
1710.0,192213
1711.0,192334
1712.0,192470
1713.0,192574
1714.0,192716
1715.0,192831
1716.0,192958
1717.0,193081
1718.0,193184
1719.0,193329
1720.0,193461
1721.0,193592
1722.0,193700
1723.0,193812
1724.0,193906
1725.0,194006
1726.0,194137
1727.0,194234
1728.0,194347
1729.0,194449
1730.0,194577
1731.0,194710
1732.0,194822
1733.0,194925
1734.0,195045
1735.0,195191
1736.0,195292
1737.0,195380
1738.0,195485
1739.0,195627
1740.0,195734
1741.0,195839
1742.0,195958
1743.0,196060
1744.0,196164
1745.0,196273
1746.0,196421
1747.0,196519
1748.0,196624
1749.0,196723
1750.0,196831
1751.0,196944
1752.0,197062
1753.0,197145
1754.0,197238
1755.0,197357
1756.0,197487
1757.0,197579
1758.0,197701
1759.0,197819
1760.0,197935
1761.0,198036
1762.0,198178
1763.0,198289
1764.0,198377
1765.0,198470
1766.0,198578
1767.0,198667
1768.0,198775
1769.0,198906
1770.0,199032
1771.0,199193
1772.0,199298
1773.0,199396
1774.0,199491
1775.0,199608
1776.0,199713
1777.0,199820
1778.0,199926
1779.0,200025
1780.0,200180
1781.0,200283
1782.0,200386
1783.0,200496
1784.0,200618
1785.0,200754
1786.0,200860
1787.0,200953
1788.0,201039
1789.0,201177
1790.0,201345
1791.0,201538
1792.0,201623
1793.0,201722
1794.0,201865
1795.0,201948
1796.0,202058
1797.0,202172
1798.0,202280
1799.0,202390
1800.0,202480
1801.0,202581
1802.0,202672
1803.0,202790
1804.0,202900
1805.0,203000
1806.0,203113
1807.0,203222
1808.0,203321
1809.0,203422
1810.0,203521
1811.0,203671
1812.0,203798
1813.0,203901
1814.0,204020
1815.0,204159
1816.0,204275
1817.0,204374
1818.0,204476
1819.0,204590
1820.0,204752
1821.0,204860
1822.0,204977
1823.0,205084
1824.0,205201
1825.0,205310
1826.0,205428
1827.0,205536
1828.0,205622
1829.0,205732
1830.0,205835
1831.0,205969
1832.0,206049
1833.0,206163
1834.0,206270
1835.0,206400
1836.0,206512
1837.0,206598
1838.0,206714
1839.0,206839
1840.0,206932
1841.0,207027
1842.0,207184
1843.0,207285
1844.0,207396
1845.0,207538
1846.0,207629
1847.0,207748
1848.0,207869
1849.0,207979
1850.0,208065
1851.0,208192
1852.0,208305
1853.0,208430
1854.0,208543
1855.0,208632
1856.0,208747
1857.0,208833
1858.0,208949
1859.0,209048
1860.0,209195
1861.0,209320
1862.0,209429
1863.0,209516
1864.0,209628
1865.0,209718
